number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
95,Bayern München,Borussia Dortmund,4,0,59,41,18,2,5,0,12,2,1,0,2,1,6,2,11,12,2,1,0,0,12,11,,,3,12,7,1,4,1,,,,,,,13,2,5,0,0,2,641,429,561,345,51,32,6,1,14,4,,,60,35,4,6,30,14,10,16,,
101,Bayer 04 Leverkusen,Freiburg,1,1,71,29,27,8,9,2,7,5,11,1,13,3,3,0,10,14,0,3,0,0,13,10,,,10,13,4,3,4,2,2,0,,,,,16,5,11,3,1,9,685,276,582,174,31,15,9,3,14,5,,,65,41,29,14,10,13,7,12,,
103,Fortuna Düsseldorf,Bayern München,0,4,29,71,13,17,1,5,5,8,7,4,8,6,3,6,8,6,1,1,0,0,6,8,,,12,6,0,6,0,3,0,1,1,2,,,6,13,7,4,1,1,268,692,190,621,29,34,4,10,9,13,,,41,47,8,8,18,18,10,8,,
94,SC Paderborn 07,Augsburg,0,1,61,39,11,13,4,5,2,5,5,3,5,7,0,4,15,12,1,3,0,0,12,14,,,9,8,2,2,2,2,,,,,,,3,8,8,5,4,4,476,303,396,208,34,30,2,4,12,9,,,59,55,11,12,24,20,12,10,,
114,Borussia M'gladbach,Freiburg,4,2,50,50,23,12,13,4,8,5,2,3,2,3,1,0,15,16,3,2,0,0,15,13,,,9,10,10,2,6,1,2,0,2,0,,,18,8,5,4,2,9,443,427,360,350,25,28,2,6,9,5,,,52,41,16,11,14,12,9,16,,
78,Bayer 04 Leverkusen,Werder Bremen,2,2,62,38,24,11,4,3,11,7,9,1,10,1,2,0,14,13,2,1,0,0,13,12,,,9,12,4,1,3,1,1,0,1,1,,,17,4,7,7,1,3,512,333,436,244,39,17,14,3,15,6,,,55,48,13,14,15,17,14,14,,
98,Freiburg,Eintracht Frankfurt,1,0,51,49,13,17,7,6,3,6,3,5,8,10,3,1,7,13,1,2,1,2,12,7,,,10,11,1,2,1,2,0,1,0,2,,,9,8,4,9,6,6,389,374,307,279,35,40,5,1,5,9,,,41,59,14,29,10,14,13,7,,
109,1. FC Köln,Augsburg,1,1,55,45,13,11,6,4,5,5,2,2,4,8,0,1,15,17,8,3,1,1,14,15,,,10,7,3,4,3,3,,,0,1,,,9,6,4,5,3,5,433,341,351,259,48,24,9,5,5,7,,,56,55,19,19,18,14,5,14,,
80,Borussia M'gladbach,Eintracht Frankfurt,4,2,48,52,13,15,7,3,3,6,3,6,5,6,1,4,13,15,1,1,0,0,11,12,,,10,5,3,2,1,1,,,2,0,,,11,12,2,3,1,3,418,422,311,313,24,29,5,13,8,7,,,62,60,24,19,19,22,14,14,,
110,Hertha BSC,Borussia Dortmund,1,2,48,52,13,7,3,5,5,1,5,1,2,2,4,0,14,10,3,2,0,1,9,13,,,3,10,0,4,0,2,,,,,,,9,5,4,2,3,2,500,543,407,445,37,30,6,3,9,11,,,62,47,21,14,23,9,8,12,,
100,1. FC Union Berlin,Borussia M'gladbach,2,0,37,63,11,13,6,2,3,7,2,4,2,6,1,2,12,7,1,1,0,0,7,12,,,5,4,3,2,1,2,1,1,2,1,,,8,7,3,6,2,4,368,612,236,486,41,44,9,3,4,12,,,63,65,33,32,19,11,12,11,,
118,Borussia Dortmund,Fortuna Düsseldorf,5,0,73,27,23,2,10,0,9,2,4,0,6,0,2,2,8,10,0,3,0,0,10,8,,,3,13,5,0,,,,,4,0,,,15,2,8,0,0,5,942,328,884,249,47,27,3,0,17,6,,,49,36,10,3,13,19,9,12,,
116,1. FSV Mainz 05,Eintracht Frankfurt,2,1,54,46,18,14,8,4,7,7,3,3,8,6,2,2,13,10,1,2,0,1,10,13,,,9,11,2,3,1,3,,,2,1,,,7,10,11,4,3,7,455,380,362,284,38,22,2,7,13,10,,,52,58,14,19,15,16,8,11,,
121,RB Leipzig,1899 Hoffenheim,3,1,41,59,25,11,14,1,7,4,4,6,8,6,4,2,16,5,3,1,0,0,5,14,,,6,12,5,2,2,2,0,1,2,0,,,19,10,6,1,0,11,417,619,334,511,31,18,8,4,17,11,,,58,55,21,15,15,15,11,15,,
107,1899 Hoffenheim,1. FSV Mainz 05,1,5,63,37,20,12,8,5,7,6,5,1,14,3,1,2,12,14,1,3,0,1,13,10,,,7,10,6,5,6,2,,,0,4,,,12,11,8,1,1,8,534,306,454,229,32,19,11,5,10,10,,,53,52,15,12,15,20,9,10,,
108,FC Schalke 04,1. FC Union Berlin,2,1,55,45,17,17,8,7,2,5,7,5,7,4,4,2,12,13,1,4,0,0,13,10,,,8,4,1,2,1,1,,,,,,,12,12,5,5,6,6,483,387,368,281,22,24,4,8,14,7,,,68,65,31,26,12,23,15,16,,
115,Wolfsburg,Werder Bremen,2,3,60,40,20,10,6,3,7,5,7,2,9,3,4,1,15,16,1,4,0,0,14,14,,,6,11,4,2,3,0,,,0,2,,,13,7,7,3,0,4,472,317,357,201,26,17,10,3,7,6,,,68,76,31,38,17,21,5,12,,
125,Werder Bremen,SC Paderborn 07,0,1,54,46,12,16,3,5,7,5,2,6,13,6,2,3,10,13,1,4,0,0,13,10,,,11,13,1,2,1,1,,,0,2,,,8,9,4,7,5,3,478,410,382,320,21,33,6,3,12,13,,,55,63,14,14,18,27,13,13,,
