round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possesion_home,possesion_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
3,Universidad de Concepción,Antofagasta,0,0,,,51,49,5,17,2,2,3,10,0,5,4,8,3,2,20,24,5,3,0,0,24,17,30,13,12,5,,,,,,,,,2,8,3,9,2,2,369,338,266,247,,,,,,,158,160,68,52,21,12,,,,,,
3,Audax Italiano,Deportes Iquique,1,3,,,50,50,10,15,5,7,4,4,1,4,3,3,4,6,18,15,2,2,1,1,14,14,24,21,7,9,,,,,,,,,7,8,3,7,4,3,361,372,273,268,,,,,,,139,142,37,49,10,17,,,,,,
3,Palestino,Colo Colo,1,1,,,45,55,8,14,2,5,4,6,2,3,3,5,1,2,12,16,4,4,0,0,14,11,19,25,9,8,,,,,,,,,3,7,5,7,4,1,281,342,191,255,,,,,,,150,151,54,48,18,13,,,,,,
4,Audax Italiano,Deportes Temuco,2,1,,,48,52,19,15,4,4,11,7,4,4,5,4,0,3,19,15,3,4,0,0,15,19,26,35,10,18,,,,,,,,,12,9,7,6,3,2,345,372,242,269,,,,,,,158,166,51,54,16,13,,,,,,
4,Santiago Wanderers,Universidad Católica,1,1,,,51,49,12,15,4,3,7,7,1,5,7,2,1,4,18,20,3,4,1,0,18,14,19,14,9,9,,,,,,,,,10,4,2,11,2,3,392,384,317,309,,,,,,,139,112,46,40,15,8,,,,,,
4,Unión Española,San Luis de Quillota,1,0,,,47,53,15,7,3,4,11,0,1,3,5,3,2,0,20,21,4,6,0,0,21,19,23,30,7,8,,,,,,,,,12,1,3,6,4,2,290,327,199,226,,,,,,,146,148,52,44,16,8,,,,,,
4,Antofagasta,Palestino,2,1,,,60,40,18,9,7,3,7,4,4,2,1,2,4,4,20,24,1,6,0,2,23,19,20,16,3,9,,,,,,,,,8,3,10,6,2,5,475,307,385,212,,,,,,,135,139,56,44,14,6,,,,,,
4,Colo Colo,Universidad de Concepción,1,2,,,65,35,14,8,5,5,6,2,3,1,7,1,3,1,25,22,4,4,0,1,22,25,23,14,3,13,,,,,,,,,4,3,10,5,3,4,518,279,415,190,,,,,,,168,139,72,61,19,12,,,,,,
4,Deportes Iquique,Curicó Unido,0,1,,,55,45,5,9,2,3,3,3,0,3,3,3,6,1,25,22,2,5,1,1,21,22,30,16,5,7,,,,,0,1,,,2,4,3,5,2,2,397,324,301,236,,,,,,,155,144,55,66,16,12,,,,,,
4,Everton de Viña del Mar,O'Higgins,1,1,,,59,41,12,9,4,1,4,6,4,2,8,0,8,1,10,20,1,5,0,0,17,9,22,20,9,8,,,,,,,,,9,5,3,4,0,3,483,335,389,259,,,,,,,160,118,47,43,13,19,,,,,,
4,Universidad de Chile,Huachipato,3,2,,,58,42,16,12,7,4,4,7,5,1,6,3,3,0,12,18,2,2,0,0,18,7,22,21,13,10,,,,,,,,,11,7,5,5,2,4,421,289,329,201,,,,,,,149,142,54,44,18,13,,,,,,
5,Santiago Wanderers,Deportes Iquique,0,0,,,49,51,12,12,4,3,6,3,2,6,4,6,5,5,11,17,2,3,0,0,15,9,23,25,8,11,,,,,0,1,,,4,4,8,8,3,4,378,390,289,288,,,,,,,140,150,35,30,9,11,,,,,,
5,Palestino,San Luis de Quillota,1,3,,,57,43,19,9,5,4,11,1,3,4,6,5,1,3,11,24,2,4,0,0,24,9,36,22,5,10,,,,,,,,,12,7,7,2,1,4,405,305,313,222,,,,,,,159,141,60,48,16,18,,,,,,
5,Deportes Temuco,Everton de Viña del Mar,0,1,,,46,54,15,11,5,4,7,5,3,2,8,7,1,2,12,15,2,1,0,0,13,12,22,25,5,18,,,,,,,,,7,8,8,3,3,5,384,464,291,369,,,,,,,160,143,48,59,16,22,,,,,,
5,Universidad Católica,Curicó Unido,1,0,,,41,59,12,9,2,2,6,6,4,1,5,3,3,2,18,13,3,3,0,0,12,18,16,36,10,7,,,,,,,,,7,5,5,4,2,1,330,476,252,395,,,,,,,128,149,61,45,17,8,,,,,,
5,Huachipato,Unión Española,0,1,,,65,35,15,11,2,4,4,2,9,5,11,3,1,5,18,12,5,3,0,0,12,17,25,18,5,12,,,,,,,,,9,4,6,7,3,2,475,249,353,152,,,,,,,180,153,42,40,13,15,,,,,,
5,Colo Colo,Universidad de Chile,4,1,,,38,62,10,10,4,2,4,7,2,1,1,3,3,2,20,19,4,5,0,0,18,16,17,28,10,6,,,,,,,,,6,6,4,4,1,0,298,469,219,375,,,,,,,127,152,65,54,14,17,,,,,,
5,Universidad de Concepción,Audax Italiano,1,1,,,49,51,8,15,3,7,3,4,2,4,5,8,7,2,21,21,5,3,2,0,21,17,26,23,9,6,,,,,,,,,6,11,2,4,6,2,295,291,203,189,,,,,,,156,165,52,54,16,21,,,,,,
5,O'Higgins,Antofagasta,0,2,,,66,34,7,11,2,6,3,2,2,3,8,5,1,2,16,12,1,2,0,0,11,15,35,30,5,4,,,,,,,,,2,6,5,5,4,2,548,292,440,188,,,,,,,158,163,55,54,20,20,,,,,,
6,Unión Española,Universidad de Concepción,1,0,,,42,58,7,6,1,1,4,5,2,0,2,8,3,0,16,15,3,3,0,0,15,16,26,28,10,6,,,,,,,,,3,3,5,3,1,1,324,444,247,341,,,,,,,140,159,66,68,23,27,,,,,,
6,Deportes Iquique,Colo Colo,1,1,,,59,41,13,11,5,1,7,9,1,1,5,5,1,2,17,22,3,2,0,0,21,15,23,18,11,9,,,,,,,,,7,7,6,5,1,4,442,318,352,212,,,,,,,148,149,60,79,21,28,,,,,,
6,San Luis de Quillota,Santiago Wanderers,0,2,,,66,34,10,10,2,7,7,3,1,0,3,1,5,11,16,14,2,1,0,0,14,14,30,15,10,13,,,,,,,,,4,8,6,2,5,2,546,292,439,182,,,,,,,170,162,38,44,9,19,,,,,,
6,Universidad de Chile,O'Higgins,2,2,,,63,37,20,5,7,2,8,2,5,1,9,1,6,3,14,27,2,6,0,1,27,12,29,11,3,13,,,,,,,,,14,1,6,4,0,5,466,282,383,194,,,,,,,147,129,58,39,14,14,,,,,,
6,Curicó Unido,Deportes Temuco,1,1,,,49,51,14,15,2,4,5,7,7,4,8,6,0,4,15,16,4,5,1,0,16,13,32,23,9,13,,,,,,,,,3,9,11,6,3,1,341,365,266,284,,,,,,,153,141,47,47,12,14,,,,,,
6,Audax Italiano,Universidad Católica,2,2,,,42,58,8,11,3,5,5,4,0,2,5,4,2,5,20,18,3,3,0,0,18,18,34,31,5,13,,,,,,,,,5,8,3,3,3,0,277,385,159,276,,,,,,,176,167,53,35,18,8,,,,,,
6,Everton de Viña del Mar,Palestino,3,1,,,48,52,13,22,6,5,3,10,4,7,3,8,3,1,16,21,1,3,0,0,17,15,21,13,11,4,,,,,2,0,,,8,14,5,8,4,3,393,406,292,318,,,,,,,152,144,46,56,7,11,,,,,,
6,Antofagasta,Huachipato,1,0,,,47,53,22,7,14,1,7,3,1,3,7,2,2,2,20,19,5,6,0,0,19,18,23,30,5,9,,,,,,,,,10,2,12,5,1,13,338,372,223,248,,,,,,,164,174,80,53,35,19,,,,,,
7,Colo Colo,San Luis de Quillota,3,0,,,39,61,12,5,8,1,4,4,0,0,3,1,5,1,22,16,1,3,0,0,14,20,32,30,10,7,,,,,2,0,,,8,2,4,3,1,5,290,446,209,343,,,,,,,146,166,68,55,18,17,,,,,,
7,Antofagasta,Unión Española,0,0,,,64,36,16,9,6,0,8,7,2,2,5,8,0,2,25,16,2,5,0,0,16,25,26,22,7,13,,,,,,,,,10,6,6,3,0,6,459,235,365,153,,,,,,,149,148,68,59,23,12,,,,,,
7,Universidad de Chile,Everton de Viña del Mar,2,2,,,53,47,13,10,3,5,6,3,4,2,6,2,5,1,12,17,3,3,0,0,15,11,26,25,6,8,,,,,,,,,7,8,6,2,3,1,391,357,289,253,,,,,,,162,142,43,31,11,11,,,,,,
7,Universidad de Concepción,Curicó Unido,0,1,,,65,35,16,8,7,3,7,2,2,3,12,1,2,2,13,16,2,2,0,0,14,13,37,16,3,12,,,,,,,,,12,3,4,5,2,7,542,289,444,195,,,,,,,178,144,45,50,13,15,,,,,,
7,O'Higgins,Palestino,2,1,,,55,45,11,16,7,7,3,7,1,2,5,8,5,2,17,15,5,1,0,0,14,17,14,31,9,12,,,,,,,,,8,12,3,4,6,5,454,350,345,253,,,,,,,154,159,36,36,4,7,,,,,,
7,Deportes Temuco,Universidad Católica,1,0,,,33,67,5,16,2,7,2,7,1,2,6,4,5,3,14,15,3,2,0,0,13,13,12,19,9,6,,,,,,,,,3,8,2,8,7,1,294,589,206,503,,,,,,,132,128,41,49,11,14,,,,,,
7,Santiago Wanderers,Audax Italiano,1,3,,,52,48,5,15,1,3,3,6,1,6,5,9,6,5,10,14,5,1,0,0,14,9,21,25,15,8,,,,,2,0,,,1,11,4,5,1,0,349,323,251,211,,,,,,,160,172,48,46,17,21,,,,,,
7,Huachipato,Deportes Iquique,1,0,,,49,51,11,12,4,4,5,7,2,1,2,4,2,3,17,19,4,3,0,0,18,17,26,36,5,9,,,,,,,,,6,4,5,8,4,3,382,385,263,267,,,,,,,176,201,65,57,20,15,,,,,,
8,Curicó Unido,Antofagasta,0,1,,,44,56,9,8,2,2,5,5,2,1,9,1,1,2,16,27,4,6,1,0,23,16,38,34,7,9,,,,,,,,,5,4,4,4,1,2,310,397,172,270,,,,,,,197,176,59,59,14,26,,,,,,
8,Unión Española,Universidad de Chile,0,0,,,36,64,8,7,4,0,3,4,1,3,6,3,1,1,16,19,1,6,1,0,18,16,24,24,14,5,,,,,,,,,2,4,6,3,0,4,236,422,152,330,,,,,,,131,131,37,58,7,23,,,,,,
8,Deportes Iquique,Universidad de Concepción,0,4,,,53,47,13,12,3,4,7,7,3,1,8,2,2,2,12,11,3,2,1,0,9,12,35,29,7,13,,,,,,,,,8,4,5,8,0,3,411,385,308,265,,,,,,,176,175,53,59,22,15,,,,,,
8,Huachipato,Santiago Wanderers,1,0,,,56,44,14,19,6,4,5,10,3,5,9,4,3,2,17,16,3,2,1,0,13,14,19,21,8,7,,,,,,,,,10,15,4,4,4,5,417,314,321,220,,,,,,,145,138,49,45,17,13,,,,,,
8,San Luis de Quillota,O'Higgins,2,1,,,50,50,4,11,2,3,1,6,1,2,4,5,4,2,18,13,2,0,0,0,11,16,38,30,9,6,,,,,,,,,4,9,1,2,2,1,388,365,289,248,,,,,,,169,166,48,60,18,19,,,,,,
8,Universidad Católica,Colo Colo,0,1,,,54,46,13,6,3,2,6,4,4,0,3,3,2,3,25,24,4,5,0,1,21,24,14,10,7,7,,,,,0,1,,,6,4,7,2,0,3,432,367,335,288,,,,,,,138,135,51,67,5,21,,,,,,
8,Palestino,Deportes Temuco,2,2,,,63,37,21,10,6,4,10,4,5,2,5,2,2,9,18,15,3,3,0,0,12,14,23,12,9,14,,,,,,,,,9,5,12,5,2,4,503,286,410,197,,,,,,,135,141,38,33,13,11,,,,,,
8,Audax Italiano,Everton de Viña del Mar,3,0,,,42,58,14,11,4,3,9,7,1,1,4,7,2,4,19,11,2,3,1,0,11,19,19,22,7,16,,,,,1,0,,,8,7,6,4,3,1,288,402,202,293,,,,,,,138,154,51,49,17,12,,,,,,
9,Everton de Viña del Mar,Curicó Unido,1,1,,,55,45,22,13,11,5,7,8,4,0,8,5,2,1,18,15,3,4,0,0,15,17,27,34,8,9,,,,,0,1,,,15,6,7,7,3,9,380,298,278,200,,,,,,,167,167,65,58,18,22,,,,,,
9,Deportes Temuco,San Luis de Quillota,1,1,,,40,60,12,16,3,7,6,6,3,3,10,4,9,2,11,13,1,2,0,0,13,10,27,24,11,8,,,,,,,,,7,9,5,7,6,2,300,443,199,344,,,,,,,169,165,44,48,18,17,,,,,,
9,Palestino,Unión Española,4,0,,,49,51,12,8,6,2,4,3,2,3,1,4,0,3,12,16,1,3,0,0,15,11,13,21,9,7,,,,,,,,,5,5,7,3,2,2,431,426,343,335,,,,,,,120,134,35,26,5,6,,,,,,
9,Antofagasta,Universidad de Chile,0,2,,,60,40,17,10,6,6,4,2,7,2,6,3,3,4,21,29,3,3,0,0,27,18,23,21,4,5,,,,,,,,,4,5,13,5,4,6,371,245,266,159,,,,,,,163,143,70,60,11,16,,,,,,
9,Universidad Católica,Deportes Iquique,2,0,,,58,42,13,13,8,5,1,5,4,3,5,5,3,0,11,13,2,1,0,0,12,10,29,17,14,3,,,,,,,,,8,5,5,8,4,6,461,324,378,236,,,,,,,145,127,39,39,11,12,,,,,,
9,Colo Colo,Santiago Wanderers,2,0,,,52,48,20,7,7,2,10,4,3,1,5,3,1,0,12,16,0,1,1,1,12,12,19,15,6,15,,,,,,,,,12,3,8,4,2,5,399,360,313,266,,,,,,,133,137,60,44,23,11,,,,,,
9,Universidad de Concepción,Huachipato,1,0,,,45,55,15,14,6,3,6,7,3,4,6,3,1,2,23,13,2,1,1,0,11,20,28,29,9,8,,,,,,,,,8,9,7,5,3,5,318,373,216,266,,,,,,,161,171,55,70,15,18,,,,,,
9,O'Higgins,Audax Italiano,1,2,,,60,40,11,15,3,6,6,7,2,2,6,2,6,4,18,15,5,3,1,0,14,15,26,32,7,13,,,,,,,,,6,9,5,6,4,2,378,241,270,143,,,,,,,152,153,43,60,9,24,,,,,,
10,Deportes Iquique,Deportes Temuco,0,1,,,58,42,17,7,5,3,8,3,4,1,9,3,3,3,25,19,4,4,1,0,18,23,18,17,5,16,,,,,,,,,7,6,10,1,2,5,421,304,301,199,,,,,,,163,141,55,64,30,33,,,,,,
10,Huachipato,Universidad Católica,3,1,,,51,49,13,14,8,4,5,6,0,4,4,6,2,2,19,13,2,2,0,1,13,16,17,24,11,7,,,,,2,0,,,10,9,3,5,3,5,374,349,291,254,,,,,,,148,148,61,61,16,16,,,,,,
10,Audax Italiano,Colo Colo,0,3,,,59,41,9,17,3,8,4,8,2,1,2,1,2,3,17,18,4,4,0,0,17,16,23,26,11,10,,,,,0,1,,,1,10,8,7,5,3,420,291,304,204,,,,,,,169,139,65,52,24,11,,,,,,
10,San Luis de Quillota,Antofagasta,1,3,,,41,59,6,17,3,7,3,6,0,4,2,5,0,6,23,17,4,4,1,0,14,22,20,28,7,6,,,,,0,2,,,2,11,4,6,4,2,333,478,212,370,,,,,,,159,164,51,59,12,22,,,,,,
10,Santiago Wanderers,Everton de Viña del Mar,3,3,,,36,64,13,17,8,6,4,5,1,6,3,9,4,1,15,6,3,3,0,0,6,12,16,35,7,10,,,,,,,,,8,10,5,7,3,5,260,469,174,366,,,,,,,133,163,32,34,16,13,,,,,,
10,Universidad de Concepción,O'Higgins,2,2,,,42,58,19,9,9,3,8,5,2,1,7,6,5,2,11,14,1,5,0,0,14,10,18,12,8,7,,,,,0,2,,,11,6,8,3,1,7,356,491,258,386,,,,,,,153,160,52,51,15,23,,,,,,
10,Curicó Unido,Unión Española,0,1,,,64,36,19,13,4,4,9,7,6,2,4,2,2,1,21,12,4,3,0,1,12,20,29,21,10,12,,,,,,,,,9,4,10,9,3,4,449,253,357,159,,,,,,,153,137,53,70,17,12,,,,,,
10,Universidad de Chile,Palestino,2,1,,,68,32,10,9,5,3,2,5,3,1,10,1,1,0,13,20,1,1,0,0,19,13,19,17,8,13,,,,,0,1,,,5,5,5,4,2,3,505,242,418,174,,,,,,,142,115,51,52,12,12,,,,,,
11,Deportes Temuco,Colo Colo,1,0,,,49,51,16,13,7,2,8,8,1,3,4,3,2,0,16,15,2,5,0,3,14,16,15,17,8,9,,,,,,,,,12,8,4,5,2,6,341,349,284,266,,,,,,,111,121,56,54,19,15,,,,,,
11,Palestino,Huachipato,0,1,,,58,42,6,24,1,7,2,12,3,5,2,5,1,7,15,20,4,4,0,0,19,12,26,23,10,9,,,,,,,,,4,13,2,11,6,1,434,312,346,234,,,,,,,148,125,41,45,3,7,,,,,,
11,Unión Española,Deportes Iquique,4,2,,,41,59,12,12,6,6,5,3,1,3,7,7,3,5,14,8,2,2,0,0,8,12,24,21,8,5,,,,,,,,,9,5,3,7,4,2,297,448,206,360,,,,,,,153,143,54,45,24,13,,,,,,
11,Curicó Unido,San Luis de Quillota,1,0,,,36,64,8,9,3,3,5,3,0,3,2,6,1,0,22,21,3,4,0,1,19,20,34,31,13,8,,,,,,,,,5,6,3,3,3,2,244,417,148,301,,,,,,,159,181,59,78,21,30,,,,,,
11,Universidad de Chile,Universidad Católica,1,0,,,39,61,5,23,1,4,2,11,2,8,2,4,1,6,19,15,1,3,0,0,15,17,26,22,14,8,,,,,,,,,4,15,1,8,4,0,316,478,225,391,,,,,,,151,138,48,61,13,16,,,,,,
11,Everton de Viña del Mar,Universidad de Concepción,2,1,,,65,35,18,13,7,8,8,4,3,1,6,3,8,0,19,21,3,5,0,1,21,16,29,7,9,10,,,,,,,,,7,7,11,6,7,4,444,246,378,161,,,,,,,134,126,50,52,13,18,,,,,,
11,Antofagasta,Audax Italiano,1,1,,,64,36,18,9,7,4,8,4,3,1,6,4,6,2,10,18,1,3,0,1,15,9,44,22,7,13,,,,,,,,,13,6,5,3,3,6,420,226,326,125,,,,,,,172,161,66,62,17,20,,,,,,
11,O'Higgins,Santiago Wanderers,0,3,,,65,35,16,8,0,4,10,4,6,0,4,3,1,5,10,11,4,0,0,0,10,7,16,25,6,12,,,,,,,,,7,7,9,1,1,0,597,313,495,212,,,,,,,157,142,46,39,23,14,,,,,,
12,Universidad de Concepción,Palestino,1,1,,,52,48,12,9,5,2,4,6,3,1,4,1,3,3,22,16,2,4,0,0,14,21,28,26,8,4,,,,,,,,,5,5,7,4,1,4,449,412,354,313,,,,,,,149,158,53,52,12,12,,,,,,
12,Santiago Wanderers,Universidad de Chile,0,1,,,51,49,15,15,2,2,6,9,7,4,4,5,3,2,17,14,3,4,0,1,12,16,14,17,12,10,,,,,,,,,7,8,8,7,1,2,312,308,211,201,,,,,,,152,146,51,60,25,37,,,,,,
12,Huachipato,Everton de Viña del Mar,1,2,,,51,49,10,17,5,9,0,2,5,6,6,9,3,2,14,6,3,1,0,0,5,12,31,27,9,4,,,,,,,,,4,12,6,5,7,4,404,369,299,268,,,,,,,182,169,37,46,10,1,,,,,,
12,Audax Italiano,Curicó Unido,2,0,,,64,36,15,10,6,4,6,5,3,1,3,4,3,2,25,17,4,3,0,1,15,23,31,18,12,7,,,,,1,0,,,6,2,9,8,4,4,439,237,344,156,,,,,,,152,139,56,56,14,11,,,,,,
12,Universidad Católica,San Luis de Quillota,0,2,,,66,34,19,9,2,3,9,4,8,2,6,4,1,3,9,16,2,4,0,1,15,8,31,29,9,15,,,,,,,,,13,6,6,3,1,2,523,253,427,164,,,,,,,150,150,52,49,12,12,,,,,,
12,Deportes Iquique,O'Higgins,0,1,,,54,46,21,8,5,1,11,4,5,3,13,2,8,8,11,21,2,3,0,0,21,10,24,25,7,10,,,,,,,,,14,3,7,5,0,5,377,324,274,238,,,,,,,169,140,63,47,20,15,,,,,,
12,Deportes Temuco,Antofagasta,1,0,,,49,51,5,13,1,5,4,5,0,3,0,6,5,2,14,17,2,3,0,0,15,12,14,14,7,7,,,,,,,,,3,7,2,6,4,0,411,412,308,300,,,,,,,152,152,60,44,24,17,,,,,,
12,Colo Colo,Unión Española,5,2,,,50,50,13,12,9,4,4,2,0,6,7,6,2,2,17,17,1,1,0,0,15,15,15,16,9,8,,,,,,,,,10,4,3,9,3,4,335,320,252,246,,,,,,,129,124,56,58,8,17,,,,,,
13,San Luis de Quillota,Universidad de Concepción,0,0,,,53,47,13,8,3,1,7,5,3,2,0,5,3,3,23,22,1,2,0,0,21,22,38,21,7,13,,,,,,,,,6,0,7,8,1,3,378,348,275,240,,,,,,,176,170,74,74,19,33,,,,,,
13,Palestino,Deportes Iquique,1,0,,,40,60,7,9,3,4,3,5,1,0,1,5,4,4,19,13,4,3,0,0,11,19,15,25,9,5,,,,,,,,,3,1,4,8,4,2,300,436,187,337,,,,,,,150,162,43,42,11,14,,,,,,
13,Universidad de Chile,Audax Italiano,0,3,,,56,44,20,15,6,5,7,6,7,4,8,4,1,2,17,25,4,4,2,0,25,15,16,20,8,8,,,,,0,1,,,9,9,11,6,2,6,375,289,322,233,,,,,,,102,98,56,40,12,6,,,,,,
13,O'Higgins,Universidad Católica,3,1,,,39,61,9,13,6,4,2,6,1,3,2,4,0,6,16,11,3,1,0,0,11,11,19,27,5,4,,,,,1,0,,,5,8,4,5,3,3,368,566,297,490,,,,,,,113,131,45,48,9,12,,,,,,
