round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possesion_home,possesion_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
1,San Luis de Quillota,Huachipato,2,0,,,51,49,18,9,6,4,7,3,5,2,6,5,2,5,11,24,2,4,0,0,21,11,25,28,3,12,,,,,,,,,7,6,11,3,4,3,347,337,262,247,,,,,,,152,151,57,45,15,9,,,,,,
1,Deportes Iquique,Everton de Viña del Mar,0,1,,,46,54,9,8,1,4,4,2,4,2,4,9,1,2,18,19,2,6,1,1,17,18,18,25,9,10,,,,,,,,,3,8,6,0,3,1,381,438,301,345,,,,,,,144,153,56,47,16,12,,,,,,
1,Curicó Unido,Universidad de Chile,0,1,,,35,65,7,8,3,3,4,3,0,2,6,6,2,5,21,12,4,2,1,1,10,19,29,34,7,8,,,,,,,,,5,5,2,3,2,3,244,470,155,375,,,,,,,143,144,36,56,4,10,,,,,,
1,Audax Italiano,Palestino,2,1,,,41,59,13,11,6,5,4,4,3,2,2,9,1,3,23,20,1,5,0,0,19,21,23,30,4,6,,,,,,,,,7,9,6,2,4,4,268,385,159,266,,,,,,,165,177,49,42,17,12,,,,,,
1,Universidad Católica,Universidad de Concepción,0,0,,,63,37,14,6,6,2,3,3,5,1,6,5,1,4,19,18,2,2,0,0,16,18,31,22,9,7,,,,,,,,,5,1,9,5,2,6,433,254,357,176,,,,,,,135,122,47,53,14,15,,,,,,
1,Santiago Wanderers,Unión Española,0,0,,,51,49,15,14,4,3,7,6,4,5,5,3,3,2,14,10,3,2,0,1,10,13,27,24,4,14,,,,,,,,,8,3,7,11,3,4,419,398,330,325,,,,,,,132,127,27,33,5,5,,,,,,
1,Deportes Temuco,O'Higgins,2,0,,,59,41,22,9,8,2,13,3,1,4,7,5,5,0,9,22,0,4,0,1,21,9,26,30,3,16,,,,,,,,,13,5,9,4,1,6,399,280,318,180,,,,,,,153,153,58,43,18,12,,,,,,
1,Colo Colo,Antofagasta,0,0,,,62,38,13,9,4,2,6,7,3,0,5,4,3,2,17,27,6,5,1,0,26,16,23,19,10,9,,,,,,,,,7,5,6,4,2,4,447,273,357,163,,,,,,,164,162,73,65,22,21,,,,,,
2,Universidad de Chile,Deportes Temuco,2,1,,,71,29,14,15,4,3,8,5,2,7,8,1,2,1,12,12,2,0,0,0,11,10,23,30,9,17,,,,,,,,,11,7,3,8,2,2,515,210,420,133,,,,,,,150,127,58,40,20,20,,,,,,
2,Palestino,Curicó Unido,2,1,,,47,53,9,16,3,5,4,8,2,3,5,7,1,0,16,23,6,3,1,0,22,14,22,28,13,7,,,,,,,,,7,8,2,8,4,1,305,317,202,227,,,,,,,144,156,47,35,12,12,,,,,,
2,Universidad de Concepción,Santiago Wanderers,2,2,,,56,44,12,15,4,4,6,9,2,2,6,4,2,0,21,6,6,1,0,1,6,19,24,23,9,9,,,,,,,,,4,9,8,6,2,2,505,379,406,272,,,,,,,146,154,28,34,10,8,,,,,,
2,Unión Española,Universidad Católica,1,0,,,43,57,15,13,3,4,11,5,1,4,4,6,1,3,10,24,6,5,1,2,24,10,17,14,6,14,,,,,,,,,8,7,7,6,4,2,313,420,244,343,,,,,,,122,122,43,47,14,13,,,,,,
2,Everton de Viña del Mar,San Luis de Quillota,4,0,,,50,50,10,12,7,3,3,7,0,2,4,7,9,1,13,14,0,3,0,1,14,12,21,21,10,4,,,,,3,0,,,7,7,4,5,3,4,398,365,314,288,,,,,,,129,134,43,39,19,9,,,,,,
2,O'Higgins,Colo Colo,1,3,,,47,53,12,8,5,5,5,2,2,1,4,2,2,3,15,21,2,2,0,0,18,12,23,20,5,4,,,,,,,,,7,7,5,1,2,5,385,425,281,332,,,,,,,159,146,55,56,11,19,,,,,,
2,Huachipato,Audax Italiano,2,1,,,55,45,7,9,4,4,3,5,0,0,4,3,5,1,20,28,5,6,0,0,23,20,20,13,9,7,,,,,,,,,4,5,3,5,4,2,361,283,259,182,,,,,,,155,152,52,50,14,6,,,,,,
2,Antofagasta,Deportes Iquique,0,0,,,56,44,15,5,4,2,7,0,4,3,3,3,2,2,18,25,2,6,0,0,25,18,24,22,5,9,1,0,1,0,,,,,5,2,10,3,2,4,415,328,306,220,38,32,8,3,9,3,162,157,74,50,27,17,13,14,12,21,1,13
3,O'Higgins,Unión Española,0,2,,,49,51,13,10,3,4,7,4,3,2,5,4,2,5,16,14,1,2,1,0,13,15,18,28,7,10,,,,,,,,,5,6,8,4,2,3,385,376,274,289,,,,,,,147,162,49,43,20,14,,,,,,
3,Curicó Unido,Santiago Wanderers,1,1,,,67,33,27,7,8,4,11,2,8,1,4,3,0,1,12,15,4,4,0,1,12,12,34,26,3,22,,,,,,,,,16,4,11,3,3,7,469,228,396,141,,,,,,,135,144,49,38,17,5,,,,,,
3,Deportes Temuco,Huachipato,0,0,,,40,60,12,13,3,1,5,7,4,5,8,5,4,0,19,9,2,4,0,0,8,15,27,20,15,12,,,,,,,,,7,4,5,9,1,3,319,486,239,401,,,,,,,144,139,35,41,13,12,,,,,,
3,Universidad Católica,Everton de Viña del Mar,1,1,,,48,52,19,12,7,2,9,4,3,6,7,6,3,2,17,15,4,2,0,0,14,15,21,15,7,13,,,,,,,,,11,7,8,5,1,6,372,398,306,317,,,,,,,113,132,48,44,13,8,,,,,,
3,San Luis de Quillota,Universidad de Chile,2,0,,,43,57,14,7,6,2,3,2,5,3,4,4,1,3,22,20,3,3,0,0,19,20,28,30,6,5,,,,,,,,,9,4,5,3,2,4,285,365,173,253,,,,,,,177,174,55,69,19,23,,,,,,
