number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
258,Lille OSC,Toulouse,3,0,60,40,18,7,9,1,5,3,4,3,5,0,1,0,12,20,1,3,0,0,20,11,,,6,12,3,0,1,0,,,,,,,14,3,4,4,1,6,639,425,561,337,28,29,3,2,10,4,,,48,46,14,13,4,19,9,13,,
257,Dijon,AS Monaco,1,1,43,57,12,16,2,6,7,5,3,5,2,3,3,1,16,13,1,0,0,0,10,15,,,6,9,3,3,2,2,,,1,1,,,7,8,5,8,5,1,459,613,375,516,38,43,3,6,11,10,,,56,77,15,28,20,25,9,10,,
264,Paris Saint-Germain,Dijon,4,0,70,30,23,9,11,3,10,6,2,0,8,0,2,1,7,3,1,0,0,0,3,7,,,7,11,7,0,4,0,1,0,2,1,,,19,6,4,3,3,7,760,327,685,266,18,24,6,3,9,8,,,37,36,12,11,13,10,5,18,,
262,Paris Saint-Germain,Bordeaux,4,3,68,32,23,13,9,7,7,1,7,5,10,7,2,1,13,15,5,2,1,0,13,13,,,3,11,11,4,7,2,1,0,1,0,,,19,9,4,4,3,5,598,278,542,204,25,28,4,6,23,11,,,68,56,9,14,23,18,13,10,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Amiens,Metz,0,1,59,41,12,13,5,6,6,5,1,2,6,3,1,0,17,10,2,1,0,0,10,16,,,10,9,1,1,1,1,,,,,,,10,6,2,7,5,5,517,361,403,242,27,31,3,4,4,15,,,44,63,18,23,12,12,11,7,,
259,Strasbourg,Amiens,0,0,61,39,15,3,3,1,9,2,3,0,5,5,1,1,18,23,2,6,0,0,21,18,,,5,10,1,0,1,0,,,,,,,8,0,7,3,1,3,418,264,316,169,43,21,7,3,9,5,,,76,56,28,22,18,16,13,6,,
273,Olympique de Marseille,Amiens,2,2,56,44,13,12,6,3,4,6,3,3,4,4,0,4,13,17,2,2,0,0,17,12,,,7,5,1,3,1,1,0,1,1,1,,,5,6,8,6,1,4,510,408,416,317,35,24,2,5,17,13,,,73,56,17,22,23,10,20,11,,
260,Saint-Étienne,Stade de Reims,1,1,44,56,7,12,4,2,0,8,3,2,8,6,0,1,14,5,1,1,0,0,5,14,,,9,8,1,1,,,,,1,0,,,2,3,5,9,1,3,361,463,284,381,23,23,4,5,4,16,,,35,66,9,18,17,20,16,16,,
267,Montpellier,Strasbourg,3,0,45,55,23,15,11,7,9,4,3,4,5,7,0,1,8,15,1,2,0,0,15,8,,,11,11,5,1,4,1,1,0,,,,,13,8,10,7,7,8,367,450,306,380,17,34,9,6,4,13,,,45,50,18,20,10,9,11,12,,
